,Date,Year,Month,Global Temperature Anomalies,Global Precipitation,Nino 1+2 SST,Nino 1+2 SST Anomalies,Nino 3 SST,Nino 3 SST Anomalies,Nino 3.4 SST,Nino 3.4 SST Anomalies,Nino 4 SST,Nino 4 SST Anomalies,TNI OISST,TNI HadISST,PNA,OLR,SOI,Season (2-Month),MEI.ext,MEI.v2,Season (3-Month),ONI,Season (12-Month),ENSO Phase-Intensity
116,1959-09-01,1959,SEP,0.02,,,,,,,,,,-0.307,-0.307,1.19,,0.0,AS,0.232,,ASO,-0.1,1959-1960,N
117,1959-10-01,1959,OCT,0.0,,,,,,,,,,-0.109,-0.109,0.23,,0.5,SO,0.142,,SON,0.0,1959-1960,N
118,1959-11-01,1959,NOV,-0.04,,,,,,,,,,0.184,0.184,0.26,,0.9,ON,0.048,,OND,0.1,1959-1960,N
119,1959-12-01,1959,DEC,0.02,,,,,,,,,,0.363,0.363,0.36,,0.9,ND,-0.125,,NDJ,0.0,1959-1960,N
120,1960-01-01,1960,JAN,0.04,,,,,,,,,,0.438,0.438,-0.16,,0.1,DJ,-0.07,,DJF,-0.1,1960-1961,N
121,1960-02-01,1960,FEB,0.15,,,,,,,,,,0.095,0.095,-0.22,,0.1,JF,0.073,,JFM,-0.1,1960-1961,N
122,1960-03-01,1960,MAR,-0.24,,,,,,,,,,-0.051,-0.051,-0.69,,1.0,FM,0.106,,FMA,-0.1,1960-1961,N
123,1960-04-01,1960,APR,-0.11,,,,,,,,,,-0.262,-0.262,-0.07,,0.8,MA,0.167,,MAM,0.0,1960-1961,N
124,1960-05-01,1960,MAY,-0.07,,,,,,,,,,-0.521,-0.521,0.99,,0.5,AM,0.177,,AMJ,0.0,1960-1961,N
125,1960-06-01,1960,JUN,-0.01,,,,,,,,,,-0.602,-0.602,1.2,,0.1,MJ,0.071,,MJJ,0.0,1960-1961,N
126,1960-07-01,1960,JUL,0.01,,,,,,,,,,-0.409,-0.409,1.11,,0.5,JJ,-0.078,,JJA,0.1,1960-1961,N
127,1960-08-01,1960,AUG,0.05,,,,,,,,,,-0.493,-0.493,1.85,,0.8,JA,-0.303,,JAS,0.2,1960-1961,N
128,1960-09-01,1960,SEP,0.08,,,,,,,,,,-0.487,-0.487,-0.01,,0.7,AS,-0.253,,ASO,0.3,1960-1961,N
129,1960-10-01,1960,OCT,0.05,,,,,,,,,,-0.507,-0.507,0.48,,0.1,SO,-0.256,,SON,0.2,1960-1961,N
